generation,gene_id,reward,param_count,submission_flag,runtime_min,status,job_id,source_log,is_valid,failure_kind
3,xXxupAfWs24zYNS0q3dC0CjRSJR,1105.3316962030003,38541.0,True,1481,completed,5142054,slurm-5149662.out,True,valid
3,xXx4B7FZsAKCT02WB7AatQ6Dhi9,1042.250514857908,142605.0,True,1431,completed,5145431,slurm-5149662.out,True,valid
3,xXxR6Sd4W55BBXNqQ11VOUFwEa5,1002.6149336743641,11085.0,True,1481,completed,5142081,slurm-5149662.out,True,valid
3,xXxrd1qCZbJJBEldfp5XmY4MgRY,960.3144927004316,11085.0,True,1481,completed,5142073,slurm-5149662.out,True,valid
3,xXx79zrkx0Sr70eMI7NxoOmtbto,921.9557010746406,11085.0,True,1481,completed,5142070,slurm-5149662.out,True,valid
3,xXxSiIC8XNiMnWSeWbO3xgoJdmN,835.389459590928,11085.0,True,1481,completed,5142072,slurm-5149662.out,True,valid
3,xXxZQyDhPM6xTM3kCmAMOYKw0BR,789.6701067260061,11085.0,True,1431,completed,5145430,slurm-5149662.out,True,valid
3,xXx4L2jiClO5cOnAhYR4H9yKioT,884.3173179991411,90893.0,True,1431,completed,5145432,slurm-5149662.out,True,valid
3,xXx7akmPV2iZupejwNCMFezu3Yw,777.7252746605541,11085.0,True,1481,completed,5142088,slurm-5149662.out,True,valid
3,xXxB5QUptxTcXcGugtgAImBAU1J,815.5105135000755,142605.0,True,1452,completed,5144005,slurm-5149662.out,True,valid
3,xXxBHGOw2hjHwS4C31EU5NSGTTB,775.4338481353645,11085.0,True,1481,completed,5142078,slurm-5149662.out,True,valid
3,xXxideifjcNdziXdZqnbLOvk4G6,766.8791807845505,11085.0,True,1431,completed,5145423,slurm-5149662.out,True,valid
3,xXx8ZpKW3K8SagPWWBC9SlcFCEx,727.4365773988823,11085.0,True,1452,completed,5144008,slurm-5149662.out,True,valid
3,xXxKS1RGRRFKLfHMtmGbVfBzSCR,695.4043824989183,11085.0,True,1481,completed,5142082,slurm-5149662.out,True,valid
3,xXxlV61JOfkNeynoo7ssKHYILc5,679.2124950365572,11085.0,True,1452,completed,5144002,slurm-5149662.out,True,valid
3,xXx1aDyrJXankxPhrCxJtzF7gu6,628.9557561985959,11085.0,True,1431,completed,5145415,slurm-5149662.out,True,valid
3,xXx8hITsxDhHUTqufWXaoR24T7m,614.9252284777239,11085.0,True,1452,completed,5144013,slurm-5149662.out,True,valid
3,xXxC77t9Ak1JnIZPCNMvxGmugqa,608.9006919960506,11085.0,True,1481,completed,5142066,slurm-5149662.out,True,valid
